Date,Open,High,Low,Close,Adj Close,Volume
2007-06-04,63.049999,63.669998,63.009998,63.599998,42.002983,10090400
2007-06-05,63.400002,63.549999,63.020000,63.310001,41.811462,11391400
2007-06-06,63.200001,63.430000,62.549999,62.900002,41.540691,11532300
2007-06-07,62.639999,62.900002,61.990002,62.000000,40.946304,14245500
2007-06-08,62.049999,62.349998,61.459999,62.130001,41.032162,13943800
2007-06-11,62.889999,62.889999,62.150002,62.270000,41.124611,9082200
2007-06-12,62.250000,62.410000,61.759998,61.830002,40.834034,11908200
2007-06-13,61.910000,62.259998,61.320000,62.180000,41.065182,14814400
2007-06-14,62.200001,62.610001,62.180000,62.450001,41.243500,9093400
2007-06-15,62.590000,63.119999,62.570000,62.770000,41.454838,16817100
2007-06-18,62.849998,62.900002,62.230000,62.330002,41.164242,8489300
2007-06-19,62.340000,62.669998,62.200001,62.419998,41.223679,11399300
2007-06-20,62.520000,62.840000,61.990002,62.040001,40.972725,11311700
2007-06-21,61.910000,62.340000,61.790001,62.110001,41.018948,10370700
2007-06-22,61.849998,61.980000,60.730000,60.730000,40.107563,22060300
2007-06-25,61.000000,61.509998,60.970001,61.110001,40.358509,12967700
2007-06-26,61.360001,61.959999,61.320000,61.650002,40.715153,13908200
2007-06-27,61.150002,61.529999,61.070000,61.450001,40.583076,14158300
2007-06-28,61.500000,61.840000,61.200001,61.500000,40.616100,9515800
2007-06-29,61.580002,61.939999,61.209999,61.619999,40.695339,12025100
2007-07-02,61.939999,62.000000,61.380001,61.849998,40.847248,8090400
2007-07-03,62.000000,62.279999,61.880001,61.950001,40.913273,4716100
2007-07-05,62.099998,62.419998,61.869999,62.279999,41.131218,8299700
2007-07-06,62.099998,62.400002,62.000000,62.130001,41.032162,7558900
2007-07-09,62.360001,63.330002,61.990002,62.720001,41.421814,18794500
2007-07-10,62.720001,62.849998,62.119999,62.200001,41.078388,14338300
2007-07-11,62.200001,62.990002,62.150002,62.860001,41.514267,11145900
2007-07-12,63.049999,63.410000,62.619999,63.360001,41.844471,11042400
2007-07-13,63.470001,63.599998,63.009998,63.430000,41.890709,8999400
2007-07-16,63.369999,63.880001,63.279999,63.799999,42.135075,13368200
2007-07-17,62.880001,63.520000,62.279999,62.740002,41.435017,27568400
2007-07-18,62.509998,62.900002,62.020000,62.200001,41.078388,16892500
2007-07-19,62.349998,62.700001,62.060001,62.389999,41.203888,12653800
2007-07-20,62.389999,62.500000,61.720001,61.790001,40.807617,13773900
2007-07-23,61.889999,62.330002,61.849998,62.000000,40.946304,9439400
2007-07-24,61.570000,62.130001,61.419998,61.470001,40.596272,10753800
2007-07-25,61.480000,61.990002,61.189999,61.529999,40.635895,10622200
2007-07-26,61.029999,61.520000,60.750000,60.959999,40.259460,23319000
2007-07-27,60.750000,61.139999,59.720001,59.770000,39.473560,23503600
2007-07-30,59.930000,60.439999,59.770000,60.070000,39.671684,13604100
2007-07-31,61.349998,61.779999,60.500000,60.500000,39.955673,21874200
2007-08-01,60.509998,61.400002,60.450001,60.959999,40.259460,17638800
2007-08-02,60.799999,61.480000,60.750000,61.029999,40.305687,17094800
2007-08-03,61.500000,61.500000,60.410000,60.549999,39.988701,12984400
2007-08-06,60.310001,62.360001,60.310001,62.299999,41.144432,14768000
2007-08-07,61.750000,62.400002,61.549999,62.080002,40.999149,18086400
2007-08-08,61.990002,62.490002,61.200001,62.490002,41.269917,15477600
2007-08-09,62.000000,62.599998,60.830002,60.830002,40.173611,20821000
2007-08-10,60.700001,61.419998,60.500000,61.150002,40.384941,15651600
2007-08-13,61.320000,61.869999,61.130001,61.450001,40.583076,11132700
2007-08-14,61.509998,61.939999,61.110001,61.130001,40.371750,18623200
2007-08-15,61.080002,61.750000,60.779999,61.299999,40.484001,13757600
2007-08-16,60.799999,61.930000,60.730000,61.630001,40.701946,24001900
2007-08-17,62.490002,62.980000,61.349998,62.020000,40.959522,18327900
2007-08-20,61.840000,62.099998,61.540001,61.830002,40.834034,12981800
2007-08-21,61.570000,61.910000,61.500000,61.669998,40.728378,12477700
2007-08-22,61.700001,62.099998,61.619999,62.009998,40.952908,12141600
2007-08-23,62.150002,62.369999,61.970001,62.110001,41.018948,8809400
2007-08-24,61.759998,61.980000,61.349998,61.880001,41.141960,9166300
2007-08-27,61.660000,61.849998,61.509998,61.599998,40.955780,10458800
2007-08-28,61.599998,61.680000,61.230000,61.250000,40.723083,14789300
2007-08-29,61.349998,61.990002,61.259998,61.860001,41.128647,10176700
2007-08-30,61.349998,61.910000,61.349998,61.599998,40.955780,8354000
